bikeID,Age,Gender,TripDuration,StartStation,EndStation
23909,38,MALE,00:24:59,E 10 St & Avenue A,India St & Manhattan Ave
17582,59,MALE,00:36:56,Central Park West & W 85 St,W 44 St & 5 Ave
22270,42,MALE,00:17:22,Suffolk St & Stanton St,Bedford Ave & Nassau Ave
23706,54,MALE,00:11:47,Elizabeth St & Hester St,E 11 St & 1 Ave
23808,47,MALE,00:17:05,1 Ave & E 30 St,11 Ave & W 41 St
20962,49,FEMALE,00:22:58,Washington St & Gansevoort St,Clinton St & Grand St
14733,48,MALE,00:08:23,Central Park West & W 72 St,Central Park West & W 85 St
19557,40,MALE,00:28:52,Broadway & W 51 St,W 70 St & Amsterdam Ave
18369,68,MALE,00:09:51,W 13 St & Hudson St,Great Jones St
18216,47,MALE,00:15:39,E 67 St & Park Ave,Lexington Ave & E 63 St
24158,48,FEMALE,00:25:24,Central Park West & W 68 St,W 20 St & 7 Ave
24244,38,MALE,00:27:15,E 58 St & 3 Ave,St Marks Pl & 2 Ave
24153,50,MALE,00:10:52,Broadway & E 14 St,W 27 St & 7 Ave
22645,58,MALE,00:21:22,Metropolitan Ave & Meeker Ave,Kingston Ave & Herkimer St
23922,41,MALE,00:20:07,W 43 St & 6 Ave,9 Ave & W 22 St
23437,67,MALE,00:10:20,W 63 St & Broadway,3 Ave & E 62 St
23710,38,MALE,00:12:36,W 37 St & 10 Ave,E 25 St & 2 Ave
20519,64,MALE,00:15:31,W 20 St & 7 Ave,E 4 St & 2 Ave
24036,40,MALE,00:21:29,W 33 St & 7 Ave,Lafayette St & Jersey St
16376,35,FEMALE,00:21:22,W 33 St & 7 Ave,Lafayette St & Jersey St
22613,34,MALE,00:14:17,Kingston Ave & Herkimer St,Humboldt St & Varet St
20190,35,FEMALE,00:14:13,Kingston Ave & Herkimer St,Humboldt St & Varet St
24249,70,FEMALE,00:13:21,1 Ave & E 18 St,E 4 St & 2 Ave
16247,53,MALE,00:18:31,Central Park West & W 68 St,E 85 St & 3 Ave
21359,41,MALE,00:22:39,W 56 St & 10 Ave,Pershing Square North
22440,39,FEMALE,00:22:36,W 56 St & 10 Ave,Pershing Square North
17314,62,FEMALE,00:18:52,W 13 St & Hudson St,W 37 St & 10 Ave
20648,36,MALE,00:14:41,8 Ave & W 31 St,Washington St & Gansevoort St
22128,59,MALE,00:08:40,Broadway & E 14 St,E 9 St & Avenue C
19365,35,MALE,00:13:04,5 Ave & E 63 St,W 84 St & Broadway
19409,34,FEMALE,00:14:07,8 Ave & W 31 St,Washington St & Gansevoort St
23503,49,FEMALE,00:42:45,Clinton St & Grand St,Lexington Ave & Classon Ave
22948,44,MALE,00:14:10,W 31 St & 7 Ave,E 3 St & 1 Ave
23767,54,MALE,00:42:10,Clinton St & Grand St,Lexington Ave & Classon Ave
19514,60,MALE,00:08:46,Pershing Square South,W 33 St & 7 Ave
18072,35,MALE,00:14:58,Fulton St & Washington Ave,Lewis Ave & Decatur St
15780,61,MALE,00:29:40,Central Park West & W 68 St,E 9 St & Avenue C
22452,54,MALE,00:16:26,W 67 St & Broadway,W 33 St & 7 Ave
23613,38,MALE,00:24:01,Bond St & Schermerhorn St,1 Ave & E 18 St
16683,37,MALE,00:14:42,Broadway & W 36 St,W 56 St & 10 Ave
20219,42,MALE,00:32:25,Washington St & Gansevoort St,West Thames St
23283,39,MALE,00:25:36,MacDougal St & Prince St,Columbus Ave & W 72 St
17345,57,MALE,00:17:30,Central Park West & W 85 St,W 43 St & 10 Ave
24142,36,MALE,00:11:43,Clermont Ave & Lafayette Ave,Bedford Ave & S 9 St
22008,49,MALE,00:22:37,E 39 St & 2 Ave,W 64 St & West End Ave
18426,49,MALE,00:11:42,Bank St & Hudson St,W 37 St & 10 Ave
22333,48,MALE,00:09:20,E 20 St & Park Ave,E 45 St & 3 Ave
15638,42,FEMALE,00:10:14,W 52 St & 9 Ave,6 Ave & W 33 St
19767,34,FEMALE,00:29:48,8 Ave & W 31 St,Allen St & Rivington St
17963,45,FEMALE,00:15:52,W 56 St & 10 Ave,E 60 St & York Ave
16971,45,MALE,00:15:47,W 56 St & 10 Ave,E 60 St & York Ave
16498,50,FEMALE,00:18:33,E 51 St & Lexington Ave,E 33 St & 2 Ave
17375,44,MALE,00:16:02,11 Ave & W 41 St,Riverside Dr & W 78 St
22029,68,MALE,00:21:39,E 12 St & 3 Ave,W 38 St & 8 Ave
15690,50,FEMALE,00:17:53,E 51 St & Lexington Ave,E 33 St & 2 Ave
18754,53,MALE,00:11:09,E 17 St & Broadway,Greenwich Ave & Charles St
23125,42,MALE,00:16:50,E 75 St & 3 Ave,W 64 St & West End Ave
23917,35,FEMALE,00:09:38,Graham Ave & Grand St,Metropolitan Ave & Meeker Ave
22598,43,MALE,00:17:57,Graham Ave & Conselyea St,Lewis Ave & Kosciuszko St
20804,46,MALE,00:15:56,W 26 St & 8 Ave,W 52 St & 9 Ave
18057,36,MALE,00:16:30,LaGuardia Pl & W 3 St,E 31 St & 3 Ave
21231,69,MALE,00:17:35,W 33 St & 7 Ave,3 Ave & E 62 St
21572,61,MALE,00:27:48,Central Park S & 6 Ave,W 4 St & 7 Ave S
20207,42,MALE,00:23:41,W 52 St & 5 Ave,3 Ave & E 62 St
19454,43,MALE,00:14:00,9 Ave & W 45 St,E 37 St & Lexington Ave
18769,44,MALE,00:09:04,Lafayette St & Jersey St,E 2 St & Avenue C
20537,49,MALE,00:10:42,Central Park West & W 68 St,Pershing Square North
15817,55,MALE,00:13:54,Columbus Ave & W 72 St,W 52 St & 9 Ave
17432,50,FEMALE,00:26:33,12 Ave & W 40 St,MacDougal St & Prince St
19740,61,MALE,00:26:49,Central Park S & 6 Ave,W 4 St & 7 Ave S
21591,36,MALE,00:22:28,E 24 St & Park Ave S,E 84 St & 1 Ave
21585,67,MALE,00:25:32,12 Ave & W 40 St,MacDougal St & Prince St
20257,68,FEMALE,00:21:53,W 24 St & 7 Ave,Mott St & Prince St
22777,35,MALE,00:12:15,Columbus Ave & W 72 St,9 Ave & W 45 St
19054,49,MALE,00:23:07,Kent Ave & S 11 St,E 2 St & Avenue B
23732,39,MALE,00:09:59,8 Ave & W 33 St,W 52 St & 9 Ave
17118,33,FEMALE,00:15:11,Avenue D & E 3 St,E 19 St & 3 Ave
21062,66,MALE,00:08:53,Henry St & Grand St,Madison St & Montgomery St
15868,32,MALE,00:08:58,W 13 St & 7 Ave,Bank St & Washington St
23178,63,FEMALE,00:46:30,Central Park West & W 72 St,E 10 St & 5 Ave
20230,55,MALE,00:17:52,W 74 St & Columbus Ave,E 85 St & York Ave
14789,55,FEMALE,00:20:39,W 44 St & 5 Ave,W 39 St & 9 Ave
23740,69,FEMALE,00:47:44,Kingston Ave & Herkimer St,E 14 St & Avenue B
23065,37,MALE,00:16:34,Lafayette Ave & Classon Ave,S 3 St & Bedford Ave
23486,53,MALE,00:11:48,W 13 St & Hudson St,E 11 St & 2 Ave
19586,35,MALE,00:08:39,5 Ave & E 63 St,E 48 St & 3 Ave
18834,55,MALE,00:08:46,11 Ave & W 59 St,W 74 St & Columbus Ave
22333,44,MALE,00:09:25,E 45 St & 3 Ave,E 20 St & 2 Ave
23714,60,MALE,00:08:55,11 Ave & W 59 St,W 74 St & Columbus Ave
17293,36,MALE,00:18:31,W 31 St & 7 Ave,6 Ave & Broome St
18365,35,MALE,00:08:49,Allen St & E Houston St,Greenwich St & W Houston St
22215,40,MALE,00:08:55,Metropolitan Ave & Bedford Ave,Huron St & Franklin St
14765,36,MALE,00:33:11,Fulton St & Clermont Ave,E 2 St & Avenue C
23885,38,MALE,00:11:58,W 13 St & Hudson St,Franklin St & W Broadway
23710,41,MALE,00:09:33,E 25 St & 2 Ave,Broadway & E 14 St
22885,42,MALE,00:18:29,E 81 St & 3 Ave,9 Ave & W 45 St
16376,35,FEMALE,00:28:16,Lafayette St & Jersey St,Bushwick Ave & Powers St
22444,54,MALE,00:10:29,E 20 St & 2 Ave,E 4 St & 2 Ave
24036,40,MALE,00:27:54,Lafayette St & Jersey St,Bushwick Ave & Powers St
17144,32,MALE,00:09:19,W 44 St & 5 Ave,6 Ave & W 33 St
23362,43,FEMALE,00:13:48,Suffolk St & Stanton St,Spruce St & Nassau St
22100,44,MALE,00:13:42,Suffolk St & Stanton St,Spruce St & Nassau St
20535,46,MALE,00:08:32,E 59 St & Madison Ave,E 81 St & 3 Ave
22860,39,MALE,00:08:46,Broadway & W 37 St,10 Ave & W 28 St
18860,64,MALE,00:13:00,Cleveland Pl & Spring St,Lexington Ave & E 24 St
22599,38,MALE,00:24:58,Carmine St & 6 Ave,Metropolitan Ave & Bedford Ave
15602,46,MALE,00:11:52,Carmine St & 6 Ave,W 20 St & 11 Ave
22644,39,MALE,00:21:39,Metropolitan Ave & Bedford Ave,Lewis Ave & Decatur St
16683,61,MALE,00:21:09,W 56 St & 10 Ave,E 84 St & 1 Ave
23523,49,MALE,00:11:03,Pike St & E Broadway,Clinton St & Grand St
